date,ticker,option_type,maturity,strike,settlement
2026-04-13,AD,CALL,APR 2026,39.0,2.29
2026-04-13,AD,CALL,APR 2026,39.5,1.8
2026-04-13,AD,CALL,APR 2026,40.0,1.32
2026-04-13,AD,CALL,APR 2026,40.5,0.89
2026-04-13,AD,CALL,APR 2026,41.0,0.51
2026-04-13,AD,CALL,APR 2026,41.5,0.25
2026-04-13,AD,CALL,APR 2026,42.0,0.12
2026-04-13,AD,CALL,APR 2026,42.5,0.05
2026-04-13,AD,CALL,APR 2026,43.0,0.02
2026-04-13,AD,CALL,APR 2026,43.5,0.01
2026-04-13,AD,CALL,APR 2026,44.0,0.0
2026-04-13,AD,CALL,DEC 2026,34.0,8.06
2026-04-13,AD,CALL,DEC 2026,35.0,7.26
2026-04-13,AD,CALL,DEC 2026,36.0,6.46
2026-04-13,AD,CALL,DEC 2026,38.0,4.95
2026-04-13,AD,CALL,DEC 2026,40.0,3.67
2026-04-13,AD,CALL,DEC 2026,42.0,2.61
2026-04-13,AD,CALL,DEC 2026,44.0,1.8
2026-04-13,AD,CALL,DEC 2026,45.0,1.47
2026-04-13,AD,CALL,DEC 2026,46.0,1.2
2026-04-13,AD,CALL,DEC 2026,48.0,0.78
2026-04-13,AD,CALL,DEC 2026,50.0,0.51
2026-04-13,AD,CALL,JUN 2027,24.0,17.26
2026-04-13,AD,CALL,JUN 2027,26.0,15.41
2026-04-13,AD,CALL,JUN 2027,28.0,13.61
2026-04-13,AD,CALL,JUN 2027,30.0,11.81
2026-04-13,AD,CALL,JUN 2027,35.0,7.76
2026-04-13,AD,CALL,JUN 2027,40.0,4.47
2026-04-13,AD,CALL,JUN 2027,45.0,2.28
2026-04-13,AD,CALL,JUN 2027,50.0,1.05
2026-04-13,AD,CALL,JUN 2027,55.0,0.48
2026-04-13,AD,CALL,JUN 2027,60.0,0.23
2026-04-13,AD,CALL,JUN 2027,80.0,0.02
2026-04-13,AD,CALL,MAR 2027,32.0,10.2
2026-04-13,AD,CALL,MAR 2027,34.0,8.54
2026-04-13,AD,CALL,MAR 2027,36.0,7.0
2026-04-13,AD,CALL,MAR 2027,38.0,5.59
2026-04-13,AD,CALL,MAR 2027,40.0,4.34
2026-04-13,AD,CALL,MAR 2027,42.0,3.19
2026-04-13,AD,CALL,MAR 2027,44.0,2.34
2026-04-13,AD,CALL,MAR 2027,46.0,1.68
2026-04-13,AD,CALL,MAR 2027,48.0,1.18
2026-04-13,AD,CALL,MAR 2027,50.0,0.83
2026-04-13,AD,CALL,MAR 2027,55.0,0.41
2026-04-13,AD,CALL,MAY 2026,36.0,5.43
2026-04-13,AD,CALL,MAY 2026,37.0,4.52
2026-04-13,AD,CALL,MAY 2026,38.0,3.62
2026-04-13,AD,CALL,MAY 2026,39.0,2.78
2026-04-13,AD,CALL,MAY 2026,40.0,2.02
2026-04-13,AD,CALL,MAY 2026,41.0,1.38
2026-04-13,AD,CALL,MAY 2026,42.0,0.88
2026-04-13,AD,CALL,MAY 2026,43.0,0.53
2026-04-13,AD,CALL,MAY 2026,44.0,0.31
2026-04-13,AD,CALL,MAY 2026,45.0,0.17
2026-04-13,AD,CALL,MAY 2026,46.0,0.09
2026-04-13,AD,CALL,SEP 2026,32.0,9.41
2026-04-13,AD,CALL,SEP 2026,34.0,7.56
2026-04-13,AD,CALL,SEP 2026,36.0,5.84
2026-04-13,AD,CALL,SEP 2026,38.0,4.29
2026-04-13,AD,CALL,SEP 2026,40.0,2.96
2026-04-13,AD,CALL,SEP 2026,42.0,1.9
2026-04-13,AD,CALL,SEP 2026,44.0,1.16
2026-04-13,AD,CALL,SEP 2026,45.0,0.88
2026-04-13,AD,CALL,SEP 2026,46.0,0.66
2026-04-13,AD,CALL,SEP 2026,48.0,0.37
2026-04-13,AD,CALL,SEP 2026,50.0,0.21
