strike,market_price,fem_price,abs_error,sq_error,moneyness,set,date,maturity,expiry,tau,S0,S_max,sigma_calibrated,r,options_csv
41.0,1.16,1.0351474596511228,0.12485254034887716,0.015588156831567999,0.9951456310679611,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
36.0,4.87,5.222799005959368,0.3527990059593682,0.12446713860591832,0.8737864077669902,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
45.0,0.18,0.06113913727582128,0.11886086272417871,0.014127904687536058,1.0922330097087378,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
46.0,0.11,0.023375987275290833,0.08662401272470917,0.007503719580530576,1.116504854368932,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
38.0,3.12,3.293604080525084,0.17360408052508403,0.030138376774959858,0.9223300970873786,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
37.0,3.97,4.241888380710775,0.27188838071077503,0.07392329156552735,0.8980582524271844,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
44.0,0.29,0.1444554831832927,0.14554451681670727,0.021183206375408787,1.0679611650485437,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
40.0,1.7,1.6474899459502352,0.05251005404976472,0.0027573057763092125,0.9708737864077669,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
39.0,2.36,2.4135959528486413,0.05359595284864138,0.0028725261617537903,0.9466019417475727,test,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
42.0,0.75,0.5931385770554468,0.15686142294455319,0.024605506008189997,1.0194174757281553,test,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
43.0,0.47,0.30800178684783286,0.16199821315216711,0.02624342106449497,1.0436893203883495,test,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
