strike,market_price,fem_price,abs_error,sq_error,moneyness,set,date,maturity,expiry,tau,S0,S_max,sigma_calibrated,r,options_csv
42.0,1.71,1.5270861460823957,0.18291385391760429,0.03345747795499068,1.0194174757281553,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
32.0,8.8,9.260047887934634,0.4600478879346337,0.21164405919311727,0.7766990291262136,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
48.0,0.36,0.2069296569647058,0.15307034303529418,0.023430529916942635,1.1650485436893203,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
50.0,0.21,0.0914608516986857,0.11853914830131429,0.014051529680000983,1.2135922330097086,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
36.0,5.38,5.504414128808998,0.12441412880899794,0.015478875447301931,0.8737864077669902,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
34.0,7.03,7.331042365355267,0.30104236535526674,0.09062650573869391,0.8252427184466019,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
46.0,0.62,0.4356021368710908,0.1843978631289092,0.034002571926507935,1.116504854368932,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
40.0,2.64,2.531157349662657,0.1088426503373432,0.011846722532457155,0.9708737864077669,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
38.0,3.88,3.8736149566529186,0.006385043347081343,4.0768778544107716e-05,0.9223300970873786,test,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
44.0,1.05,0.8490606035403304,0.20093939645966963,0.04037664104957629,1.0679611650485437,test,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
45.0,0.81,0.6141912128535584,0.19580878714644168,0.0383410811237605,1.0922330097087378,test,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
