strike,market_price,fem_price,abs_error,sq_error,moneyness,set,date,maturity,expiry,tau,S0,S_max,sigma_calibrated,group_strike,group_moneyness
32.0,8.8,8.79970678062718,0.0002932193728213406,8.597760059774032e-08,0.7766990291262136,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.05802074656326706,32.0,0.7766990291262136
34.0,7.03,7.029297505821051,0.0007024941789488537,4.93498071457024e-07,0.8252427184466019,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.11837251046495906,34.0,0.8252427184466019
36.0,5.38,5.381422610657113,0.0014226106571131325,2.0238210817318586e-06,0.8737864077669902,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.15156732486901017,36.0,0.8737864077669902
38.0,3.88,3.881347467679215,0.0013474676792148976,1.8156691465287823e-06,0.9223300970873786,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16438990862653613,38.0,0.9223300970873786
40.0,2.64,2.6389591120678055,0.0010408879321945896,1.0834476873883286e-06,0.9708737864077669,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.17119778430259086,40.0,0.9708737864077669
42.0,1.71,1.7087975172981373,0.0012024827018626283,1.4459646482788465e-06,1.0194174757281553,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.1765984844304104,42.0,1.0194174757281553
44.0,1.05,1.0505756817049197,0.0005756817049196172,3.3140942537915726e-07,1.0679611650485437,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.1803990890174749,44.0,1.0679611650485437
45.0,0.81,0.8106712972805253,0.0006712972805252848,4.5064003884064293e-07,1.0922330097087378,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.18209253272864293,45.0,1.0922330097087378
46.0,0.62,0.6213079393347539,0.001307939334753927,1.710705303396545e-06,1.116504854368932,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.18385817141052174,46.0,1.116504854368932
48.0,0.36,0.36101469218910925,0.0010146921891092675,1.0296002386393575e-06,1.1650485436893203,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.18775742037793283,48.0,1.1650485436893203
50.0,0.21,0.21005742037132025,5.742037132025479e-05,3.2970990425559393e-09,1.2135922330097086,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.19226832124473606,50.0,1.2135922330097086
