strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,group_strike,sigma_calibrated
32.0,8.8,9.032238997694554,0.23223899769455336,0.053934952050170765,0.7766990291262136,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,32.0,0.12482343098348911
32.0,9.32,9.556643182926045,0.23664318292604491,0.05599999602536956,0.7668344116942248,2026-04-02,SEP 2026,0.46301369863013697,41.73,150.0,32.0,0.12482343098348911
32.0,9.41,9.112790506870688,0.2972094931293121,0.08833348280618263,0.7753816331475648,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,32.0,0.12482343098348911
32.0,9.31,9.084788083394226,0.22521191660577422,0.0507204073812462,0.7761338830948339,2026-04-25,SEP 2026,0.4,41.23,150.0,32.0,0.12482343098348911
34.0,7.03,7.234268377005829,0.20426837700582912,0.041725569844595536,0.8252427184466019,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,34.0,0.15137022071595713
34.0,7.52,7.747146934710241,0.22714693471024106,0.05159572994825851,0.8147615624251139,2026-04-02,SEP 2026,0.46301369863013697,41.73,150.0,34.0,0.15137022071595713
34.0,7.56,7.294172460156672,0.2658275398433272,0.07066428093915571,0.8238429852192876,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,34.0,0.15137022071595713
34.0,7.47,7.248344581285273,0.22165541871472705,0.04913112464560097,0.824642250788261,2026-04-25,SEP 2026,0.4,41.23,150.0,34.0,0.15137022071595713
36.0,5.08,5.293939050932693,0.2139390509326926,0.04576991751398124,0.8737864077669902,2026-04-01,JUN 2026,0.21643835616438356,41.2,138.0,36.0,0.16676817048924292
36.0,4.87,5.233366103804681,0.3633661038046805,0.13203492539419384,0.8737864077669902,2026-04-01,MAY 2026,0.12054794520547946,41.2,138.0,36.0,0.16676817048924292
36.0,5.38,5.535846900209685,0.15584690020968495,0.024288256304967497,0.8737864077669902,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,36.0,0.16676817048924292
36.0,5.79,6.011920799601442,0.22192079960144184,0.04924884129574331,0.8626887131560029,2026-04-02,SEP 2026,0.46301369863013697,41.73,150.0,36.0,0.16676817048924292
36.0,5.43,5.290561037416469,0.1394389625835304,0.01944322428637119,0.8723043372910103,2026-04-13,MAY 2026,0.08767123287671233,41.27,138.0,36.0,0.16676817048924292
36.0,5.84,5.5642369517927,0.2757630482072999,0.07604525875658161,0.8723043372910103,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,36.0,0.16676817048924292
36.0,5.54,5.278257490769735,0.261742509230265,0.06850914113815536,0.8731506184816882,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,36.0,0.16676817048924292
36.0,5.39,5.242000680239338,0.14799931976066194,0.02190379864961866,0.8731506184816882,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,36.0,0.16676817048924292
36.0,5.7,5.494013260898394,0.20598673910160592,0.04243053668571307,0.8731506184816882,2026-04-25,SEP 2026,0.4,41.23,150.0,36.0,0.16676817048924292
37.0,4.23,4.263916034981187,0.03391603498118645,0.001150297428845063,0.8980582524271844,2026-04-01,JUN 2026,0.21643835616438356,41.2,138.0,37.0,0.14754763242115115
