strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,set,sigma_calibrated,r
44.0,0.02,2.5259764708450554e-05,0.01997474023529155,0.0003989902474673752,1.0679611650485437,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,train,0.08685545280413128,0.02
45.0,0.01,8.108014356295457e-08,0.009999918919856438,9.999837840370274e-05,1.0922330097087378,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,train,0.08685545280413128,0.02
36.0,4.62,5.172972885907999,0.552972885907999,0.30577901254942086,0.8737864077669902,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,train,0.08685545280413128,0.02
40.0,1.0,1.1937829223757759,0.19378292237577588,0.03755182100449598,0.9708737864077669,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,train,0.08685545280413128,0.02
41.0,0.47,0.3947418335572424,0.07525816644275757,0.005663791616325802,0.9951456310679611,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,train,0.08685545280413128,0.02
37.0,3.64,4.173849213511258,0.533849213511258,0.28499498276658874,0.8980582524271844,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,train,0.08685545280413128,0.02
38.0,2.69,3.1747263020595993,0.4847263020595993,0.23495958790837393,0.9223300970873786,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,train,0.08685545280413128,0.02
39.0,1.78,2.1758930226068025,0.3958930226068025,0.15673128534875022,0.9466019417475727,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,train,0.08685545280413128,0.02
41.0,0.73,0.7718627385582402,0.04186273855824019,0.0017524888795955697,0.9825065899832256,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,train,0.08685545280413128,0.02
43.0,0.13,0.0126205880191502,0.11737941198084981,0.013777926356970067,1.0304337407141146,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,train,0.08685545280413128,0.02
45.0,0.01,1.3303990340355111e-06,0.009998669600965964,9.997339378928087e-05,1.0783608914450036,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,train,0.08685545280413128,0.02
47.0,0.0,7.63295461280004e-13,7.63295461280004e-13,5.8261996121065415e-25,1.1262880421758927,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,train,0.08685545280413128,0.02
38.0,3.18,3.705597164362654,0.525597164362654,0.27625237918606277,0.910615863886892,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,train,0.08685545280413128,0.02
42.0,0.33,0.17088732099412102,0.159112679005879,0.025316844620427888,1.00647016534867,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,train,0.08685545280413128,0.02
39.0,2.25,2.7064303169878063,0.45643031698780634,0.20832863426558937,0.9345794392523366,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,train,0.08685545280413128,0.02
37.0,4.15,4.704775576927299,0.5547755769272991,0.3077759407550175,0.8866522885214475,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,train,0.08685545280413128,0.02
44.0,0.05,0.0002539918243235975,0.049746008175676405,0.0024746653294144636,1.0543973160795592,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,train,0.08685545280413128,0.02
43.5,0.01,1.1308409765403573e-10,0.009999999886915903,9.999999773831806e-05,1.0540344075599708,2026-04-13,APR 2026,0.010958904109589,41.27,132.0,train,0.08685545280413128,0.02
41.0,0.51,0.31721782621192035,0.19278217378807966,0.037164966530457345,0.9934577174703173,2026-04-13,APR 2026,0.010958904109589,41.27,132.0,train,0.08685545280413128,0.02
40.0,1.32,1.2641169740539084,0.055883025946091625,0.0031229125888915495,0.9692270414344559,2026-04-13,APR 2026,0.010958904109589,41.27,132.0,train,0.08685545280413128,0.02
42.5,0.05,5.658598552279693e-05,0.0499434140144772,0.002494344603421478,1.0298037315241095,2026-04-13,APR 2026,0.010958904109589,41.27,132.0,train,0.08685545280413128,0.02
41.5,0.25,0.06090252011949216,0.18909747988050785,0.03575785689715907,1.005573055488248,2026-04-13,APR 2026,0.010958904109589,41.27,132.0,train,0.08685545280413128,0.02
39.5,1.8,1.763980176064262,0.036019823935738104,0.0012974277163615717,0.9571117034165253,2026-04-13,APR 2026,0.010958904109589,41.27,132.0,train,0.08685545280413128,0.02
43.0,0.02,1.8451573526386037e-07,0.019999815484264737,0.0003999926194046355,1.0419190695420402,2026-04-13,APR 2026,0.010958904109589,41.27,132.0,train,0.08685545280413128,0.02
39.0,2.29,2.263870559111975,0.026129440888024824,0.0006827476811207835,0.9449963653985946,2026-04-13,APR 2026,0.010958904109589,41.27,132.0,train,0.08685545280413128,0.02
42.0,0.19,0.05306674619463122,0.13693325380536878,0.018750715997725542,1.0194174757281553,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,test,0.08685545280413128,0.02
43.0,0.08,0.002196331058076184,0.07780366894192382,0.006053410900824481,1.0436893203883495,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,test,0.08685545280413128,0.02
46.0,0.0,7.670054879260124e-11,7.670054879260124e-11,5.8829741850862035e-21,1.116504854368932,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,test,0.08685545280413128,0.02
40.0,1.4,1.7093518131358116,0.3093518131358117,0.09569854429041418,0.958543014617781,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,test,0.08685545280413128,0.02
46.0,0.0,1.8759936681643603e-09,1.8759936681643603e-09,3.5193522429927725e-18,1.1023244668104482,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,test,0.08685545280413128,0.02
40.5,0.89,0.7668916104616068,0.1231083895383932,0.015155675574736762,0.9813423794523867,2026-04-13,APR 2026,0.010958904109589,41.27,132.0,test,0.08685545280413128,0.02
