strike,sigma_calibrated,mse,mae,n_obs,n_dates,n_maturities,mean_moneyness,min_moneyness,max_moneyness
32.0,0.12482343098348911,0.06224720956574229,0.24782589758892115,4,4,1,0.7737622392657093,0.7668344116942248,0.7766990291262136
34.0,0.15137022071595713,0.05327917634440268,0.2297245675685311,4,4,1,0.8221223792198161,0.8147615624251139,0.8252427184466019
36.0,0.16676817048924292,0.05329710000281398,0.22066704815909588,9,4,3,0.872012051831562,0.8626887131560029,0.8737864077669902
37.0,0.14754763242115115,0.05580759203619138,0.2100347567412871,7,4,2,0.8943950999829913,0.8866522885214475,0.8980582524271844
38.0,0.176615115059062,0.051986721284599094,0.22129016284367883,11,4,3,0.9186678381976022,0.910615863886892,0.9223300970873786
39.0,0.18298538828074426,0.05853675366465051,0.22741429708126817,7,4,2,0.9427407810631528,0.9345794392523366,0.9466019417475727
40.0,0.18431552499434187,0.04783260260926733,0.19441281295194363,11,4,3,0.9670187770501073,0.958543014617781,0.9708737864077669
41.0,0.194255399864187,0.047523993260639844,0.1977190958235226,7,4,2,0.9910864621433148,0.9825065899832256,0.9951456310679611
42.0,0.18739849067361297,0.029460283077010062,0.13389328558283917,11,4,3,1.015369715902613,1.00647016534867,1.0194174757281553
43.0,0.19585684582680135,0.019938233627559372,0.11720257420187359,7,4,2,1.0394321432234765,1.0304337407141146,1.0436893203883495
44.0,0.18780507224975548,0.010000812265867833,0.08636788794403104,11,4,3,1.0637206547551183,1.0543973160795592,1.0679611650485437
45.0,0.18806954944437385,0.00473791428443093,0.06122673955900725,11,4,3,1.0878961241813707,1.0783608914450036,1.0922330097087378
46.0,0.18867376052249457,0.0024379665129014355,0.04509038013422257,11,4,3,1.112071593607624,1.1023244668104482,1.116504854368932
47.0,0.19281096869501288,0.0006642522304665724,0.02319074260329355,2,1,2,1.1262880421758927,1.1262880421758927,1.1262880421758927
48.0,0.18952217096199087,0.0006809556428280344,0.024959345451126602,4,4,1,1.1606433588985638,1.1502516175413373,1.1650485436893203
50.0,0.19319833489475782,0.00032667457072446194,0.016531615715382905,4,4,1,1.2090034988526708,1.1981787682722262,1.2135922330097086
