strike,sigma_calibrated,train_mse,train_mae,test_mae,n_train,n_test,n_obs,n_dates,n_maturities,mean_moneyness,min_moneyness,max_moneyness,dataset_csv
24.0,0.14238079214362767,0.04575852849745332,0.19962100459607157,0.37982442221090906,3,1,4,4,1,0.5803216794492819,0.5751258087706687,0.5825242718446602,calibration_results/global_raw_dataset.csv
26.0,0.14943281349335302,0.04756150878627866,0.20327467823629064,0.3820807090151934,3,1,4,4,1,0.6286818194033887,0.6230529595015577,0.6310679611650485,calibration_results/global_raw_dataset.csv
28.0,0.15616867417212202,0.04588019898654471,0.19869292686556506,0.42049860752502255,3,1,4,4,1,0.6770419593574957,0.6709801102324467,0.6796116504854368,calibration_results/global_raw_dataset.csv
30.0,0.16442509178619075,0.0414143752846047,0.19002443619238463,0.3855452733730136,3,1,4,4,1,0.7254020993116024,0.7189072609633358,0.7281553398058251,calibration_results/global_raw_dataset.csv
32.0,0.18110765999943607,0.09263795781146718,0.21051879367046133,0.490290742630183,6,2,8,4,2,0.7737622392657093,0.7668344116942248,0.7766990291262136,calibration_results/global_raw_dataset.csv
34.0,0.18358408903588447,0.08356033854986916,0.20773867573931762,0.32810763103207713,9,3,12,4,3,0.8221223792198159,0.8147615624251139,0.8252427184466019,calibration_results/global_raw_dataset.csv
35.0,0.18540645743701634,0.04369431649898032,0.1975147860992886,0.25710580160975605,6,2,8,4,2,0.8463024491968696,0.8387251377905585,0.8495145631067961,calibration_results/global_raw_dataset.csv
36.0,0.18859787166655598,0.09951110344522766,0.26871902185510343,0.19095308907612923,14,5,19,4,7,0.8715213497960064,0.8626887131560029,0.8737864077669902,calibration_results/global_raw_dataset.csv
37.0,0.16839178883451122,0.10632589664646949,0.2988217051538823,0.4041826855639328,8,2,10,4,4,0.8942881043157971,0.8866522885214475,0.8980582524271844,calibration_results/global_raw_dataset.csv
38.0,0.19115808923370206,0.07690999062175069,0.24370339069449187,0.2797709267676953,16,6,22,4,7,0.9186678381976019,0.910615863886892,0.9223300970873786,calibration_results/global_raw_dataset.csv
39.0,0.18520704012159034,0.08193703360205765,0.26436097701088335,0.2780333571401609,8,3,11,4,4,0.9428433076238548,0.9345794392523366,0.9466019417475728,calibration_results/global_raw_dataset.csv
39.5,0.23514950893705738,4.638918799848061e-09,6.8109608718947e-05,,1,0,1,1,1,0.9571117034165252,0.9571117034165252,0.9571117034165252,calibration_results/global_raw_dataset.csv
40.0,0.1909047668901932,0.05577823200136652,0.20399557702505358,0.18597716552398966,20,7,27,4,8,0.9671278271431619,0.958543014617781,0.9708737864077668,calibration_results/global_raw_dataset.csv
40.5,0.22010019838964912,2.19134176502206e-08,0.0001480318129667424,,1,0,1,1,1,0.9813423794523868,0.9813423794523868,0.9813423794523868,calibration_results/global_raw_dataset.csv
41.0,0.19122478851078942,0.047345721834623,0.1909695409863749,0.22029144968705605,8,3,11,4,4,0.9911942464763602,0.9825065899832256,0.9951456310679612,calibration_results/global_raw_dataset.csv
41.5,0.20199982136904215,5.4561959006923375e-08,0.00023358501451703484,,1,0,1,1,1,1.005573055488248,1.005573055488248,1.005573055488248,calibration_results/global_raw_dataset.csv
42.0,0.19040477668871594,0.02471277463351488,0.1313106195371756,0.12828791168370238,17,6,23,4,7,1.0154705279723333,1.00647016534867,1.019417475728155,calibration_results/global_raw_dataset.csv
42.5,0.22283573732918016,1.5658676254950403e-09,3.957104529191818e-05,,1,0,1,1,1,1.0298037315241095,1.0298037315241095,1.0298037315241095,calibration_results/global_raw_dataset.csv
43.0,0.19473428180674301,0.014562915668421456,0.09346710473284417,0.09332553476500564,8,3,11,4,4,1.0395451853288658,1.0304337407141146,1.0436893203883495,calibration_results/global_raw_dataset.csv
43.5,0.25140774824090245,3.709844589909122e-11,6.090849357773612e-06,,1,0,1,1,1,1.0540344075599708,1.0540344075599708,1.0540344075599708,calibration_results/global_raw_dataset.csv
44.0,0.1907960887959784,0.0086348721476531,0.07766615977376462,0.07172857058543901,17,6,23,4,7,1.0638262673995869,1.0543973160795592,1.0679611650485437,calibration_results/global_raw_dataset.csv
45.0,0.18798487266621822,0.006501657416264135,0.0686184837204705,0.03879118514194104,16,6,22,4,7,1.0878961241813707,1.0783608914450036,1.0922330097087378,calibration_results/global_raw_dataset.csv
46.0,0.19174001644045982,0.0032560806881507583,0.04769632496241165,0.03985375706683278,16,6,22,4,7,1.112071593607624,1.1023244668104482,1.116504854368932,calibration_results/global_raw_dataset.csv
47.0,0.18980285079064593,2.2452567222556406e-07,0.00047203114863167753,0.038391750076968795,2,1,3,1,3,1.1262880421758927,1.1262880421758927,1.1262880421758927,calibration_results/global_raw_dataset.csv
48.0,0.1913454349830164,0.0009781720825669958,0.027727338203746184,0.05555703217351234,9,3,12,4,3,1.1606433588985638,1.150251617541337,1.1650485436893203,calibration_results/global_raw_dataset.csv
50.0,0.18988985570469516,0.0022711755099388844,0.041191403989923964,0.04453920226130671,12,4,16,4,4,1.2090034988526708,1.1981787682722262,1.2135922330097086,calibration_results/global_raw_dataset.csv
55.0,0.19515374440085506,0.005025607368148346,0.06531284262178048,0.05403015645395315,6,2,8,4,2,1.3299038487379378,1.317996645099449,1.3349514563106797,calibration_results/global_raw_dataset.csv
60.0,0.19597841521844753,4.282320600272539e-05,0.0063117358532029195,0.016971684947826138,3,1,4,4,1,1.4508041986232048,1.4378145219266716,1.4563106796116505,calibration_results/global_raw_dataset.csv
80.0,0.22241668620131916,3.430214923525105e-05,0.005410025280990534,0.0007701693009445516,3,1,4,4,1,1.9344055981642732,1.917086029235562,1.9417475728155336,calibration_results/global_raw_dataset.csv
