strike,market_price,fem_price,abs_error,sq_error,moneyness,analytic_price,analytic_abs_error,analytic_sq_error,experiment,order,cl1,cl2,theta,nsteps,sigma,r,tau,S0,S_max
36.0,4.87,5.310839888066366,0.44083988806636576,0.1943398069103659,0.8737864077669902,5.310750595671216,8.929239514987586e-05,7.973131831601574e-09,ordre,1,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
37.0,3.97,4.354641092000632,0.3846410920006318,0.1479487696554385,0.8980582524271844,4.35455577224274,8.531975789161095e-05,7.2794610866831084e-09,ordre,1,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
38.0,3.12,3.4457197387212957,0.32571973872129556,0.10609334819266905,0.9223300970873786,3.4456994588190355,2.0279902260167404e-05,4.1127443568194297e-10,ordre,1,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
39.0,2.36,2.613420406108394,0.2534204061083942,0.06422190223214345,0.9466019417475727,2.6135217598430245,0.00010135373463038277,1.0272579523526053e-08,ordre,1,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
40.0,1.7,1.888011539252483,0.18801153925248304,0.03534833889208797,0.9708737864077669,1.8882414365962106,0.00022989734372758086,5.285278865299746e-08,ordre,1,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
41.0,1.16,1.2922814021167701,0.1322814021167702,0.017498369345978655,0.9951456310679611,1.2925797385810434,0.0002983364642732411,8.900464591505887e-08,ordre,1,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
42.0,0.75,0.8346768517735377,0.08467685177353768,0.007170169226277671,1.0194174757281553,0.8349465307151647,0.000269678941626994,7.272673155705564e-08,ordre,1,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
43.0,0.47,0.5073852613913024,0.03738526139130238,0.0013976577692960046,1.0436893203883495,0.5075465363030709,0.0001612749117685386,2.6009597165949907e-08,ordre,1,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
44.0,0.29,0.28988506784336177,0.00011493215663821443,1.3209400629511058e-08,1.0679611650485437,0.2899126482612271,2.7580417865324947e-05,7.606794496259355e-10,ordre,1,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
45.0,0.18,0.1556234482727,0.024376551727299994,0.0005942162741137323,1.0922330097087378,0.15554535099070765,7.809728199234534e-05,6.099185454591907e-09,ordre,1,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
